signal,signal_col,forward_return,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
HY-IG Spread Level,hy_ig_spread,spy_fwd_1d,697,0.07169591288806003,0.058509083307191956,0.06221322447817881,0.10077288689240228,0.04174097807857835,0.1005739169168267
HY-IG Spread Level,hy_ig_spread,spy_fwd_5d,693,0.1813798777464183,1.5389853348995915e-06,0.1961125273946782,1.9511046318528853e-07,0.13553567521921314,1.0323575074578446e-07
HY-IG Spread Level,hy_ig_spread,spy_fwd_21d,677,0.40915367099715655,1.042821152291895e-28,0.39587915937726853,7.972741198652741e-27,0.28147271592398493,9.110054216654953e-28
HY-IG Spread Level,hy_ig_spread,spy_fwd_63d,635,0.4936569145981911,2.586693840095096e-40,0.492624415651446,3.968217309894054e-40,0.36598966521862086,4.918835181417067e-43
HY-IG Spread Level,hy_ig_spread,spy_fwd_126d,572,0.5211690091874136,3.778687003752012e-41,0.5418271293473029,5.911304823358074e-45,0.40018647777277927,3.543298763744416e-46
HY-IG Spread Level,hy_ig_spread,spy_fwd_252d,446,0.7168033331883922,1.5603267175725108e-71,0.7509541929891497,4.8154073025975637e-82,0.5170388419357763,1.8355873006998002e-59
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_1d,696,-0.06128650405234279,0.10621077460562181,-0.007245798678784611,0.8486695924855107,-0.005275594925173075,0.8373313741253393
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_5d,692,0.011514391817405522,0.7623785689778703,0.012291297769681546,0.7468760900410355,0.007885259766264524,0.7594116356085274
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_21d,676,0.003058513029927935,0.9367348658033094,-0.007423345257989215,0.8472311764630367,-0.005715342948752275,0.8263274224064907
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_63d,634,0.057255153357250683,0.1498718167922768,0.050177616470162646,0.20704174038810605,0.034837431797945656,0.19528123144057918
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_126d,571,0.06926710309373217,0.09822125395624415,0.053444310208776526,0.20223947538322704,0.03667234254238326,0.19575087194842733
HY-IG Spread Change,hy_ig_spread_chg,spy_fwd_252d,445,-0.0010690280605715906,0.9820588835831968,0.006072498328210174,0.8983544376991804,0.0033557615625460753,0.9168539450634136
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_1d,498,0.05558131427557565,0.2156462915225367,0.07322170120598186,0.10265960803459752,0.051626483344488425,0.08528436568103293
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_5d,494,0.1459683130254382,0.0011398009438800328,0.17944418668843565,6.0502016250011114e-05,0.12389751170238975,3.854686456443217e-05
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_21d,478,0.3857825469282023,2.0683267207108407e-18,0.303624805819713,1.1886895011166458e-11,0.2127672638778386,3.5969977953991e-12
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_63d,436,0.6876893347105417,2.467529004799193e-62,0.6690539812359135,6.601464634972316e-58,0.4867629457456528,4.4688078757272424e-52
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_126d,373,0.743873498632589,6.514301656370044e-67,0.6893588338007711,6.81865002893745e-54,0.5197581313692169,8.97857066803266e-51
HY-IG Z-Score 252d,hy_ig_zscore_252d,spy_fwd_252d,247,0.13420192410203893,0.0350314274461918,0.0798376744378649,0.2111608918791007,0.061057898028373005,0.15292703708603503
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_1d,298,0.10321169427391431,0.07524372129685557,0.10425521146513486,0.07232605130240359,0.07057629706621346,0.0695141835275427
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_5d,294,0.24840981327495035,1.640491289034114e-05,0.27656883567914686,1.4629230709339905e-06,0.1958649191573918,5.508504518804011e-07
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_21d,278,0.5856081562282869,5.499421403758849e-27,0.5179127223433784,1.7622755292862775e-20,0.36690647482014394,7.589020752695413e-20
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_63d,236,0.847196045103824,3.2653589879015177e-66,0.8944188066707693,9.754121625453865e-84,0.7136443139334279,6.726077951907275e-60
HY-IG Z-Score 504d,hy_ig_zscore_504d,spy_fwd_126d,173,0.9415555080635976,1.0093133549090446e-82,0.9382853394805142,9.216147914876409e-81,0.7931706679207915,3.993183950602108e-54
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_1d,194,0.08545291097351015,0.2361369478720543,0.09863779120518137,0.17121004029542847,0.06563252244029948,0.1747324938893443
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_5d,190,0.35403835691960334,5.410862087858729e-07,0.31430798410026806,1.0041023825750408e-05,0.21706424051794349,8.814282627891553e-06
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_21d,174,0.6490916661645975,3.448132635584882e-22,0.5030314420605008,1.5080210299600888e-12,0.35642584833772417,3.003228005510349e-12
HY-IG Pctrank 504d,hy_ig_pctrank_504d,spy_fwd_63d,132,0.913448752138714,1.3294112797792208e-52,0.8619496294598211,3.613084145906209e-40,0.6944494644023951,3.844377092062393e-32
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_1d,676,0.005118355539507043,0.8943263809506592,0.01983357996438691,0.6067141950819159,0.012320979320193834,0.6320949102069521
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_5d,672,0.02470044607097588,0.5226835951118002,0.031496392418521604,0.414979582652552,0.023939875981773343,0.3532852822383631
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_21d,656,0.09808658301949834,0.011953486360942034,0.000912268202864112,0.9813942927060065,-0.000847362960863252,0.9741054668469102
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_63d,614,0.28847277667027116,3.1220628661992034e-13,0.1469926670019376,0.0002573993315604397,0.10109627646055383,0.00017976590475544884
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_126d,551,0.4328960424306861,1.424147268912224e-26,0.3328674163965831,1.0088530305443573e-15,0.23801414443719165,6.704972803282203e-17
HY-IG RoC 21d,hy_ig_roc_21d,spy_fwd_252d,425,0.03241061151749142,0.5051752012003168,-0.08865028157465077,0.06788250425019611,-0.06501032615219457,0.04532695498821083
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_1d,634,0.06383634037216669,0.10831255299969397,0.07905273992290085,0.04662578606007199,0.055279025426395074,0.037488689196740026
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_5d,630,0.16739464092739959,2.4100648777023325e-05,0.14125018580064902,0.0003763219157193346,0.09947757656585064,0.00018805116119956862
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_21d,614,0.3127895676957531,2.1086643760435902e-15,0.19622634633102454,9.578499180879536e-07,0.1351674519529581,5.464376797489146e-07
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_63d,572,0.5199049197327579,6.335922559856183e-41,0.4493885571997113,8.847225196525179e-30,0.30740212356513696,4.114192278996737e-28
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_126d,509,0.5508271394667417,1.0021055699818623e-41,0.4626256340996167,2.3301303048800553e-28,0.3245896322968523,6.94770835675789e-28
HY-IG RoC 63d,hy_ig_roc_63d,spy_fwd_252d,383,0.2605922345213451,2.3052991627551324e-07,0.10545968645747822,0.03912247072261894,0.0671246455352722,0.04983568576587339
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_1d,571,0.08129264679455273,0.052198317739445846,0.07311992071551766,0.08085380617703063,0.04893607241553812,0.08062445662774259
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_5d,567,0.19727807960154345,2.203865381497814e-06,0.20622753017104598,7.302374519297623e-07,0.13992782702569756,6.290451578240065e-07
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_21d,551,0.43025521673899275,3.091020013997221e-26,0.3665369969959366,5.800387399793382e-19,0.25286772246109834,7.014730150068348e-19
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_63d,509,0.5311640935066638,2.1313173228582288e-38,0.45887474230630004,7.144035985250995e-28,0.33012187111981145,8.69269470164325e-29
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_126d,446,0.4999924294111399,1.3827390617764472e-29,0.3708087102491487,5.515284137928126e-16,0.25483991298969566,8.937515059111956e-16
HY-IG RoC 126d,hy_ig_roc_126d,spy_fwd_252d,320,0.32246112694463513,3.5426773525698674e-09,0.41496562889921834,9.473533388198127e-15,0.28077085218241765,6.778849592486485e-14
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_1d,676,0.003717195446948197,0.9231484498034652,0.019945631993420868,0.6046828181462943,0.012398667991882554,0.6307492189619662
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_5d,672,0.016816729640586895,0.6634472853265648,0.027849195318728263,0.4710760107539074,0.020122760583423716,0.43631533450424587
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_21d,656,0.09113055499312528,0.01957013874823383,-0.010113890226906246,0.795978946396487,-0.009734230789857447,0.70985557558043
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_63d,614,0.25764186831641134,9.12209136620195e-11,0.13807621973341763,0.0006016522068974381,0.09471453324027022,0.00046283566213021566
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_126d,551,0.3829963565154115,1.0805550929983813e-20,0.3119947511718274,6.638652331229736e-14,0.2229997988615076,5.787704944911044e-15
HY-IG MoM 21d,hy_ig_mom_21d,spy_fwd_252d,425,0.001830812219549156,0.9699810677627629,-0.12486795235339303,0.00997399895299679,-0.09290533631433892,0.004328463759711854
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_1d,634,0.06206638574194362,0.11847348385358196,0.08203243164410143,0.038929724315156344,0.057078794408385106,0.03198139454392933
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_5d,630,0.15060626663523188,0.000148034860651076,0.1465128624928015,0.00022419117462378895,0.10399882072465942,9.70009062701927e-05
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_21d,614,0.27912717757595595,1.883345368115689e-12,0.20085621455426697,5.218329470097539e-07,0.13840678867300926,3.0358260219477897e-07
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_63d,572,0.4780410095895244,5.355960831437773e-34,0.4416402622958523,1.0480902941151908e-28,0.30229431189962047,3.664436388861072e-27
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_126d,509,0.4902608608393253,3.89801663432361e-32,0.4329172810861664,1.149774520888679e-24,0.30584821303104126,7.179266036170006e-25
HY-IG MoM 63d,hy_ig_mom_63d,spy_fwd_252d,383,0.20483449997057293,5.379685986533629e-05,0.07168330337254751,0.16148752679291517,0.03828355025096542,0.2641911539749726
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_1d,445,0.02366589131354257,0.6185558602801619,0.00677908142992924,0.8866027022488283,0.002576614126369439,0.9354083854675468
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_5d,441,0.07048168333755309,0.1394739587349199,0.07121722235555229,0.13538130093548353,0.045918329374388465,0.1502076380539206
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_21d,425,0.17931577899527879,0.00020243036855405858,0.08980602037353215,0.06435897875247257,0.05885757623532767,0.07026083807073409
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_63d,383,0.5517159518583992,6.879434125578157e-32,0.5548471345110445,2.6424692209320056e-32,0.4000360722019995,1.7749327103106046e-31
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_126d,320,0.7210383976753034,1.3287566729071442e-52,0.628639274198482,1.3416825528654839e-36,0.5064417075451306,1.6751959288593642e-41
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_252d,194,0.39558075209090054,1.1379117985435257e-08,0.2821914016335659,6.708526601269198e-05,0.195494295623746,5.3343008848059086e-05
Spread Acceleration,hy_ig_acceleration,spy_fwd_1d,655,-0.022847914178067214,0.5594186534671536,-0.006201375468490556,0.8741337543135793,-0.00508391190855907,0.8457882098598961
Spread Acceleration,hy_ig_acceleration,spy_fwd_5d,651,-0.06133701638725254,0.11794435225509661,-0.020251336720926823,0.6060173696818549,-0.015016093735968199,0.566542927583852
Spread Acceleration,hy_ig_acceleration,spy_fwd_21d,635,-0.10125164208810201,0.010680019893859733,-0.09120628110358733,0.021528228207623002,-0.06676304311189521,0.011848850394127211
Spread Acceleration,hy_ig_acceleration,spy_fwd_63d,593,-0.009703629536943903,0.8135833762632785,0.008639964238343293,0.8337013391265876,0.006677073481991273,0.8078694440102616
Spread Acceleration,hy_ig_acceleration,spy_fwd_126d,530,0.08143807339016305,0.060995020839863724,0.17866508796175676,3.521848574626653e-05,0.12465090400082997,1.784288426638588e-05
Spread Acceleration,hy_ig_acceleration,spy_fwd_252d,404,-0.05918076270583902,0.23527755682420262,-0.02133021505058848,0.6690499659810346,-0.015957152772533827,0.6319218046837207
CCC-BB Spread,ccc_bb_spread,spy_fwd_1d,697,0.07920727207553206,0.0365581794625319,0.08777816352472154,0.02046423493086637,0.06019370891232885,0.01763927449479406
CCC-BB Spread,ccc_bb_spread,spy_fwd_5d,693,0.21777094529756963,6.951076645814598e-09,0.24716991786677556,4.1783454554618455e-11,0.16934599588838709,2.6929079617978004e-11
CCC-BB Spread,ccc_bb_spread,spy_fwd_21d,677,0.5012441782375398,2.369765168752747e-44,0.5385545555889093,3.512106137777506e-52,0.3813807990464224,9.494748996021468e-50
CCC-BB Spread,ccc_bb_spread,spy_fwd_63d,635,0.6620135229248545,2.551524782645358e-81,0.5907272526140748,5.4389925714015424e-61,0.4247923928513969,1.414307378437058e-57
CCC-BB Spread,ccc_bb_spread,spy_fwd_126d,572,0.525374548809951,6.66371997987617e-42,0.39288277347851974,1.4921569193517142e-22,0.2477024608594334,8.923201081089918e-19
CCC-BB Spread,ccc_bb_spread,spy_fwd_252d,446,0.12499090131560961,0.008226979757273599,0.05807124688117057,0.22095923682174862,0.058038208423311,0.06744308582270755
HY-IG Spread Change (dcor),hy_ig_spread_chg,spy_ret (same day),697,0.5131151082477873,,,,,
