date,rolling_252d_pearson
2023-05-02,
2023-05-03,
2023-05-04,
2023-05-05,
2023-05-08,
2023-05-09,
2023-05-10,
2023-05-11,
2023-05-12,
2023-05-15,
2023-05-16,
2023-05-17,
2023-05-18,
2023-05-19,
2023-05-22,
2023-05-23,
2023-05-24,
2023-05-25,
2023-05-26,
2023-05-29,
2023-05-30,
2023-05-31,
2023-06-01,
2023-06-02,
2023-06-05,
2023-06-06,
2023-06-07,
2023-06-08,
2023-06-09,
2023-06-12,
2023-06-13,
2023-06-14,
2023-06-15,
2023-06-16,
2023-06-19,
2023-06-20,
2023-06-21,
2023-06-22,
2023-06-23,
2023-06-26,
2023-06-27,
2023-06-28,
2023-06-29,
2023-06-30,
2023-07-03,
2023-07-04,
2023-07-05,
2023-07-06,
2023-07-07,
2023-07-10,
2023-07-11,
2023-07-12,
2023-07-13,
2023-07-14,
2023-07-17,
2023-07-18,
2023-07-19,
2023-07-20,
2023-07-21,
2023-07-24,
2023-07-25,
2023-07-26,
2023-07-27,
2023-07-28,
2023-07-31,
2023-08-01,
2023-08-02,
2023-08-03,
2023-08-04,
2023-08-07,
2023-08-08,
2023-08-09,
2023-08-10,
2023-08-11,
2023-08-14,
2023-08-15,
2023-08-16,
2023-08-17,
2023-08-18,
2023-08-21,
2023-08-22,
2023-08-23,
2023-08-24,
2023-08-25,
2023-08-28,
2023-08-29,
2023-08-30,
2023-08-31,
2023-09-01,
2023-09-04,
2023-09-05,
2023-09-06,
2023-09-07,
2023-09-08,
2023-09-11,
2023-09-12,
2023-09-13,
2023-09-14,
2023-09-15,
2023-09-18,
2023-09-19,
2023-09-20,
2023-09-21,
2023-09-22,
2023-09-25,
2023-09-26,
2023-09-27,
2023-09-28,
2023-09-29,
2023-10-02,
2023-10-03,
2023-10-04,
2023-10-05,
2023-10-06,
2023-10-09,
2023-10-10,
2023-10-11,
2023-10-12,
2023-10-13,
2023-10-16,
2023-10-17,
2023-10-18,
2023-10-19,
2023-10-20,
2023-10-23,
2023-10-24,
2023-10-25,
2023-10-26,
2023-10-27,
2023-10-30,
2023-10-31,
2023-11-01,
2023-11-02,
2023-11-03,
2023-11-06,
2023-11-07,
2023-11-08,
2023-11-09,
2023-11-10,
2023-11-13,
2023-11-14,
2023-11-15,
2023-11-16,
2023-11-17,
2023-11-20,
2023-11-21,
2023-11-22,
2023-11-23,
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2024-01-01,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-22,
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-29,
2024-01-30,
2024-01-31,
2024-02-01,
2024-02-02,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-08,
2024-02-09,
2024-02-12,
2024-02-13,
2024-02-14,
2024-02-15,
2024-02-16,
2024-02-19,
2024-02-20,
2024-02-21,
2024-02-22,
2024-02-23,
2024-02-26,
2024-02-27,
2024-02-28,
2024-02-29,
2024-03-01,
2024-03-04,
2024-03-05,
2024-03-06,
2024-03-07,
2024-03-08,
2024-03-11,
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-25,
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,
2024-04-05,
2024-04-08,
2024-04-09,
2024-04-10,
2024-04-11,
2024-04-12,
2024-04-15,
2024-04-16,
2024-04-17,-0.5124464804375014
2024-04-18,-0.5033853410314219
2024-04-19,-0.49719771858984146
2024-04-22,-0.496236479309816
2024-04-23,-0.4880281740514363
2024-04-24,-0.4890664404969511
2024-04-25,-0.4897432546576075
2024-04-26,-0.4942560874943424
2024-04-29,-0.4942566914029092
2024-04-30,-0.4975207118786687
2024-05-01,-0.49838874684649104
2024-05-02,-0.49904069342373514
2024-05-03,-0.5013396714120293
2024-05-06,-0.5013208111073689
2024-05-07,-0.5026189132772289
2024-05-08,-0.5040551272657028
2024-05-09,-0.49806532147711796
2024-05-10,-0.49487360816791187
2024-05-13,-0.49221192061938507
2024-05-14,-0.4909260175938685
2024-05-15,-0.4890104013668517
2024-05-16,-0.48791730496951086
2024-05-17,-0.48524257994159004
2024-05-20,-0.48412136306298054
2024-05-21,-0.4723661294016151
2024-05-22,-0.472838805203082
2024-05-23,-0.47105359328121105
2024-05-24,-0.4733813606573863
2024-05-27,-0.4773879831168015
2024-05-28,-0.4791481878631937
2024-05-29,-0.48694923357781705
2024-05-30,-0.48684876345140077
2024-05-31,-0.4845717786228247
2024-06-03,-0.49236791933568913
2024-06-04,-0.49432885276758887
2024-06-05,-0.4947370943345114
2024-06-06,-0.49260122612428664
2024-06-07,-0.48947548889043796
2024-06-10,-0.48927975755105546
2024-06-11,-0.4845199151356633
2024-06-12,-0.48642184973614366
2024-06-13,-0.47674254608456235
2024-06-14,-0.4761189162107354
2024-06-17,-0.47699641070622906
2024-06-18,-0.4726311817193909
2024-06-19,-0.4732207242590456
2024-06-20,-0.47263659837437577
2024-06-21,-0.4716575486350307
2024-06-24,-0.4665717935149974
2024-06-25,-0.4668604543224388
2024-06-26,-0.46811683425553247
2024-06-27,-0.4654175281589838
2024-06-28,-0.4600830707698276
2024-07-01,-0.4613073462859193
2024-07-02,-0.4615489992279842
2024-07-03,-0.4633167119856607
2024-07-04,-0.4611444534587224
2024-07-05,-0.4587054557420256
2024-07-08,-0.4569941661350707
2024-07-09,-0.4569486450421297
2024-07-10,-0.45770589503084136
2024-07-11,-0.45708875244470254
2024-07-12,-0.4565845346481587
2024-07-15,-0.468541113908416
2024-07-16,-0.477112859537969
2024-07-17,-0.473026281443549
2024-07-18,-0.4711376487298047
2024-07-19,-0.46005123968641365
2024-07-22,-0.4615150736941555
2024-07-23,-0.4594377463303658
2024-07-24,-0.4598801646203044
2024-07-25,-0.45816768902039623
2024-07-26,-0.46025628182770423
2024-07-29,-0.4636605124325663
2024-07-30,-0.4656274988902908
2024-07-31,-0.4532521707179924
2024-08-01,-0.45571287183266734
2024-08-02,-0.4865524595001788
2024-08-05,-0.502047459179394
2024-08-06,-0.504176464338457
2024-08-07,-0.4939104464406578
2024-08-08,-0.49912085436503745
2024-08-09,-0.4995220031194782
2024-08-12,-0.5016577814616321
2024-08-13,-0.493191653599073
2024-08-14,-0.49262543117347957
2024-08-15,-0.5047972960799145
2024-08-16,-0.5044781015769392
2024-08-19,-0.5068224378703389
2024-08-20,-0.5072608361563815
2024-08-21,-0.5065674029593016
2024-08-22,-0.5004730783950683
2024-08-23,-0.4992814337945156
2024-08-26,-0.49683795852184304
2024-08-27,-0.49707940705828374
2024-08-28,-0.49681608166744795
2024-08-29,-0.49570659878929996
2024-08-30,-0.49509514644247893
2024-09-02,-0.4931074065284002
2024-09-03,-0.5044159680073109
2024-09-04,-0.5049686854162301
2024-09-05,-0.5020110502467973
2024-09-06,-0.5146290633628664
2024-09-09,-0.5064084308975695
2024-09-10,-0.5015552999551822
2024-09-11,-0.5038163151634142
2024-09-12,-0.5013405138016094
2024-09-13,-0.5018340270612066
2024-09-16,-0.5040513871584967
2024-09-17,-0.5063388288932658
2024-09-18,-0.5056320291982065
2024-09-19,-0.503041958428559
2024-09-20,-0.5125723208615998
2024-09-23,-0.5122539509908051
2024-09-24,-0.508355001784218
2024-09-25,-0.5086719109747132
2024-09-26,-0.5083326391779021
2024-09-27,-0.5088118858367385
2024-09-30,-0.5081167743728202
2024-10-01,-0.5085215552477713
2024-10-02,-0.5080567622761575
2024-10-03,-0.5079977440572744
2024-10-04,-0.5087099370295582
2024-10-07,-0.5110405475930315
2024-10-08,-0.4994725662975173
2024-10-09,-0.5003417663724353
2024-10-10,-0.49888427582029304
2024-10-11,-0.5068774688535188
2024-10-14,-0.4986856306776351
2024-10-15,-0.4943575570992844
2024-10-16,-0.49359244153910325
2024-10-17,-0.49220137785128354
2024-10-18,-0.49803091329903304
2024-10-21,-0.47961380212549287
2024-10-22,-0.4761968251667861
2024-10-23,-0.4764324883264941
2024-10-24,-0.479352164639531
2024-10-25,-0.47867041780734404
2024-10-28,-0.48263659533572967
2024-10-29,-0.486260034893271
2024-10-30,-0.48317424928705005
2024-10-31,-0.47982021659358504
2024-11-01,-0.48034664796042253
2024-11-04,-0.48776264588175744
2024-11-05,-0.484175572734479
2024-11-06,-0.48876312978419273
2024-11-07,-0.4865378386077875
2024-11-08,-0.48623874566187747
2024-11-11,-0.4862287653825249
2024-11-12,-0.4857830761942047
2024-11-13,-0.48526990811968695
2024-11-14,-0.47923084612052
2024-11-15,-0.4901107810577697
2024-11-18,-0.49176242575477613
2024-11-19,-0.49434709422294326
2024-11-20,-0.4990502145167625
2024-11-21,-0.5000994300648998
2024-11-22,-0.5010813320597067
2024-11-25,-0.5002477473494977
2024-11-26,-0.4982997480369739
2024-11-27,-0.4999963139367852
2024-11-28,-0.49975230759498496
2024-11-29,-0.5059569460843242
2024-12-02,-0.5275683658093281
2024-12-03,-0.5271621128243893
2024-12-04,-0.5266052438240484
2024-12-05,-0.5251589877818457
2024-12-06,-0.5354179403926507
2024-12-09,-0.5340519901151275
2024-12-10,-0.5341397140271796
2024-12-11,-0.5338303301848547
2024-12-12,-0.5337493400358284
2024-12-13,-0.5337141018630885
2024-12-16,-0.5331740393669119
2024-12-17,-0.5339432475392737
2024-12-18,-0.5112883109923958
2024-12-19,-0.5058932865857059
2024-12-20,-0.5044103824855725
2024-12-23,-0.5055344661798906
2024-12-24,-0.5025745520949418
2024-12-25,-0.5009903697194079
2024-12-26,-0.5017280695412155
2024-12-27,-0.4962495488236059
2024-12-30,-0.5025126364483823
2024-12-31,-0.5013488270800224
2025-01-01,-0.501655761789577
2025-01-02,-0.49807346480673664
2025-01-03,-0.5005840528061084
2025-01-06,-0.5008307553276651
2025-01-07,-0.5003379074914922
2025-01-08,-0.4988136377373073
2025-01-09,-0.49922035607912874
2025-01-10,-0.4945298459108137
2025-01-13,-0.4954206278311562
2025-01-14,-0.4967358035716606
2025-01-15,-0.5034596233911219
2025-01-16,-0.5037950732006559
2025-01-17,-0.4949320780153424
2025-01-20,-0.4924188294989605
2025-01-21,-0.4900171607043534
2025-01-22,-0.48898102407783245
2025-01-23,-0.48746412343944207
2025-01-24,-0.484173790877655
2025-01-27,-0.48822232549190525
2025-01-28,-0.48592513945603055
2025-01-29,-0.48640604533967285
2025-01-30,-0.4866941064984369
2025-01-31,-0.49035370792651695
2025-02-03,-0.4915724494468498
2025-02-04,-0.49189353216906
2025-02-05,-0.49232972451379764
2025-02-06,-0.4916389805456957
2025-02-07,-0.4912662051907227
2025-02-10,-0.4800690584365657
2025-02-11,-0.48005033338599634
2025-02-12,-0.4809406954419777
2025-02-13,-0.4800296029127363
2025-02-14,-0.4794978976655346
2025-02-17,-0.4790993769982553
2025-02-18,-0.4819866684675663
2025-02-19,-0.48135509782675906
2025-02-20,-0.4770737785057886
2025-02-21,-0.4867997070134585
2025-02-24,-0.4888603044319485
2025-02-25,-0.49039019039422693
2025-02-26,-0.4899261222997666
2025-02-27,-0.48163021524624006
2025-02-28,-0.47420945656103264
2025-03-03,-0.4787689009720502
2025-03-04,-0.48118828588138524
2025-03-05,-0.48509741001101847
2025-03-06,-0.4934006863657373
2025-03-07,-0.4993180155302945
2025-03-10,-0.521032789686167
2025-03-11,-0.5217572307543744
2025-03-12,-0.5222409665792461
2025-03-13,-0.5291288376966153
2025-03-14,-0.539492672439721
2025-03-17,-0.5414647137505945
2025-03-18,-0.543519440755862
2025-03-19,-0.5436518913852818
2025-03-20,-0.5414975138197097
2025-03-21,-0.5412829081812772
2025-03-24,-0.5518339215113086
2025-03-25,-0.5482185189970182
2025-03-26,-0.5526276782271107
2025-03-27,-0.5522217654216276
2025-03-28,-0.5681883622504189
2025-03-31,-0.5696847226967705
2025-04-01,-0.5668262184430735
2025-04-02,-0.567635288467888
2025-04-03,-0.6330643207257258
2025-04-04,-0.6780439204182108
2025-04-07,-0.6768892166304048
2025-04-08,-0.6735337896849288
2025-04-09,-0.6643650991000711
2025-04-10,-0.6596732825937959
2025-04-11,-0.6632398747939073
2025-04-14,-0.6640150994556899
2025-04-15,-0.6619359163123217
2025-04-16,-0.6638801071755795
2025-04-17,-0.6598353925477021
2025-04-18,-0.6596880589801741
2025-04-21,-0.6638334059285449
2025-04-22,-0.6687903183825106
2025-04-23,-0.6690304869418716
2025-04-24,-0.6658370420070441
2025-04-25,-0.6664248170301734
2025-04-28,-0.6670874138718642
2025-04-29,-0.6670983165697784
2025-04-30,-0.6600941084320727
2025-05-01,-0.6581737427969861
2025-05-02,-0.6609838166843255
2025-05-05,-0.6617618126439787
2025-05-06,-0.6625499057460186
2025-05-07,-0.6622699187405796
2025-05-08,-0.6614919430123322
2025-05-09,-0.6614241970256556
2025-05-12,-0.6730409079390822
2025-05-13,-0.6738446253546515
2025-05-14,-0.6736929770000247
2025-05-15,-0.6702713938528461
2025-05-16,-0.6699300491585602
2025-05-19,-0.6686456306178101
2025-05-20,-0.6696146678050793
2025-05-21,-0.6697186946311603
2025-05-22,-0.6692381678880593
2025-05-23,-0.6696597972352685
2025-05-26,-0.6697034831580638
2025-05-27,-0.6738030287512848
2025-05-28,-0.6735206211829826
2025-05-29,-0.6739848930989635
2025-05-30,-0.6725981672716436
2025-06-02,-0.6751474779577489
2025-06-03,-0.6761871268725939
2025-06-04,-0.675721306333653
2025-06-05,-0.6738822437144368
2025-06-06,-0.674746410014972
2025-06-09,-0.6747288257309814
2025-06-10,-0.6747698299101631
2025-06-11,-0.6751780787314947
2025-06-12,-0.6742838453565393
2025-06-13,-0.673629421834567
2025-06-16,-0.6749161365396645
2025-06-17,-0.6764819146840694
2025-06-18,-0.6772958653053741
2025-06-19,-0.678548657319345
2025-06-20,-0.6785048205128068
2025-06-23,-0.6784231685452661
2025-06-24,-0.6800936194996967
2025-06-25,-0.6808879845540446
2025-06-26,-0.6807475219147618
2025-06-27,-0.6803368767205501
2025-06-30,-0.6811752753152693
2025-07-01,-0.6817200879873597
2025-07-02,-0.682100587628431
2025-07-03,-0.6822748366817025
2025-07-04,-0.6839916075974597
2025-07-07,-0.685046720333429
2025-07-08,-0.6851342057129561
2025-07-09,-0.6842611641832588
2025-07-10,-0.6848007958262029
2025-07-11,-0.6854192682107337
2025-07-14,-0.685984949402378
2025-07-15,-0.6878112118528328
2025-07-16,-0.6868569308897069
2025-07-17,-0.6866301889236714
2025-07-18,-0.6915770415886634
2025-07-21,-0.6902234747269679
2025-07-22,-0.6910780279865638
2025-07-23,-0.6857905756950441
2025-07-24,-0.6901303508587903
2025-07-25,-0.6946470479551691
2025-07-28,-0.693506435915104
2025-07-29,-0.6939515694779294
2025-07-30,-0.6940646262603085
2025-07-31,-0.6973920705226634
2025-08-01,-0.6983948934693008
2025-08-04,-0.6980396107452742
2025-08-05,-0.6963911915369017
2025-08-06,-0.6948461873160875
2025-08-07,-0.6945909947174596
2025-08-08,-0.6948118407982471
2025-08-11,-0.6977990566230282
2025-08-12,-0.6973920120253838
2025-08-13,-0.6984454425934723
2025-08-14,-0.6986086313033619
2025-08-15,-0.6985538082522317
2025-08-18,-0.6990365126815987
2025-08-19,-0.6993120682695815
2025-08-20,-0.6995600320536803
2025-08-21,-0.6962436258178845
2025-08-22,-0.6974030058284943
2025-08-25,-0.6962168392176065
2025-08-26,-0.6939718071144204
2025-08-27,-0.6938528451051017
2025-08-28,-0.6969102665046456
2025-08-29,-0.6975198661901219
2025-09-01,-0.6973168711165327
2025-09-02,-0.6978663431474343
2025-09-03,-0.6982872265493277
2025-09-04,-0.6992121948635219
2025-09-05,-0.6994482988713727
2025-09-08,-0.6975187039875634
2025-09-09,-0.6972015452803499
2025-09-10,-0.6973979221919191
2025-09-11,-0.6994504725600449
2025-09-12,-0.6998281934575207
2025-09-15,-0.6999207928322917
2025-09-16,-0.6999561271180516
2025-09-17,-0.7014443399386003
2025-09-18,-0.7008637291908412
2025-09-19,-0.700202916788778
2025-09-22,-0.7005391643599493
2025-09-23,-0.7003122986013949
2025-09-24,-0.6991010509035737
2025-09-25,-0.7015160970207066
2025-09-26,-0.701038133454886
2025-09-29,-0.7014036448135114
2025-09-30,-0.7000351345791028
2025-10-01,-0.7000460877405033
2025-10-02,-0.7020114287469507
2025-10-03,-0.7018209495826725
2025-10-06,-0.70195233802189
2025-10-07,-0.7020831044700766
2025-10-08,-0.7016128425407876
2025-10-09,-0.7010664355913847
2025-10-10,-0.7079085832374847
2025-10-13,-0.7059517703434841
2025-10-14,-0.7044687482464504
2025-10-15,-0.7025697645530046
2025-10-16,-0.7034316649322913
2025-10-17,-0.7047836823806082
2025-10-20,-0.7047482388165743
2025-10-21,-0.7045576037797204
2025-10-22,-0.7047311062667256
2025-10-23,-0.7066169760535431
2025-10-24,-0.7058356023127854
2025-10-27,-0.7076223624236679
2025-10-28,-0.7080452250965239
2025-10-29,-0.7073657123633353
2025-10-30,-0.7089643878625888
2025-10-31,-0.7074426813700752
2025-11-03,-0.709198473672045
2025-11-04,-0.7088514958710304
2025-11-05,-0.7086761153328104
2025-11-06,-0.7095783058496705
2025-11-07,-0.7098678535911505
2025-11-10,-0.711757281540195
2025-11-11,-0.7119043975652668
2025-11-12,-0.7124732523153982
2025-11-13,-0.7141078681290978
2025-11-14,-0.7141802290640245
2025-11-17,-0.714731552020402
2025-11-18,-0.7165505635950764
2025-11-19,-0.7167281859004445
2025-11-20,-0.7136184885673503
2025-11-21,-0.7126918478430672
2025-11-24,-0.7126610802053414
2025-11-25,-0.7131523993839572
2025-11-26,-0.7136743702257274
2025-11-27,-0.7136767835374885
2025-11-28,-0.7140348485612152
2025-12-01,-0.7136270997314575
2025-12-02,-0.7137558124253836
2025-12-03,-0.7141092572361729
2025-12-04,-0.7139276249545148
2025-12-05,-0.7254823564597374
2025-12-08,-0.730487294144988
2025-12-09,-0.7298102052805454
2025-12-10,-0.7285457494747369
2025-12-11,-0.7300297566838506
2025-12-12,-0.7292230874028964
2025-12-15,-0.7291814576533936
2025-12-16,-0.7313304226256497
2025-12-17,-0.7292627508772369
2025-12-18,-0.7302433990703457
2025-12-19,-0.7306029995886039
2025-12-22,-0.7321059755937284
2025-12-23,-0.7312605265143575
2025-12-24,-0.7309039652419094
2025-12-25,-0.7310012995557429
2025-12-26,-0.7320703817820188
2025-12-29,-0.7322215800971084
2025-12-30,-0.7349778021249066
2025-12-31,-0.7349691442374012
