date,regime_0_prob,regime_1_prob
1999-01-31,0.8154667600095109,0.18453323999049037
1999-02-28,0.8232373348601574,0.17676266513984384
1999-03-31,0.8034246456485645,0.19657535435143655
1999-04-30,0.7358126333829497,0.26418736661705144
1999-05-31,0.7041296919395338,0.2958703080604673
1999-06-30,0.6231203663338998,0.3768796336661013
1999-07-31,0.45140442212151044,0.5485955778784906
1999-08-31,0.3071332561650113,0.6928667438349898
1999-09-30,0.005378566297535055,0.9946214337024661
1999-10-31,0.0030538215466429357,0.9969461784533582
1999-11-30,0.031221924433278505,0.9687780755667226
1999-12-31,0.010052188184377423,0.9899478118156236
2000-01-31,0.029493983916122943,0.9705060160838782
2000-02-29,0.00012246806313869187,0.9998775319368626
2000-03-31,0.030337545840775148,0.969662454159226
2000-04-30,0.029891559024321578,0.9701084409756796
2000-05-31,0.024170799321171374,0.9758292006788297
2000-06-30,0.05028045850838121,0.9497195414916199
2000-07-31,0.09018465388333816,0.9098153461166628
2000-08-31,0.13675126420384237,0.8632487357961585
2000-09-30,0.13167382631789692,0.868326173682104
2000-10-31,0.10858552887909759,0.8914144711209032
2000-11-30,0.135983885884089,0.864016114115912
2000-12-31,0.10926135502994176,0.8907386449700592
2001-01-31,0.016219776842298285,0.9837802231577026
2001-02-28,0.05317014099012536,0.9468298590098755
2001-03-31,0.0335536403836294,0.9664463596163714
2001-04-30,0.2946735865521385,0.7053264134478624
2001-05-31,0.3864993883337161,0.6135006116662849
2001-06-30,0.37884665622041847,0.6211533437795826
2001-07-31,0.6634170102596739,0.33658298974032724
2001-08-31,0.7666736667435472,0.23332633325645383
2001-09-30,0.808082860836812,0.19191713916318887
2001-10-31,0.8223440359269802,0.17765596407302078
2001-11-30,0.8279486648640173,0.17205133513598359
2001-12-31,0.7697791717806852,0.23022082821931575
2002-01-31,0.7557492642313186,0.2442507357686824
2002-02-28,0.7245320528423184,0.27546794715768275
2002-03-31,0.5965269014740704,0.4034730985259307
2002-04-30,0.28658352759596617,0.7134164724040346
2002-05-31,0.17573617012787793,0.8242638298721228
2002-06-30,0.0010256986438753686,0.9989743013561254
2002-07-31,0.023241812535508704,0.9767581874644918
2002-08-31,0.06406043195967487,0.9359395680403255
2002-09-30,0.04473076699672887,0.9552692330032715
2002-10-31,0.26384701886532863,0.7361529811346716
2002-11-30,0.40380809391538797,0.5961919060846124
2002-12-31,0.5426931974260719,0.4573068025739284
2003-01-31,0.5904804728029706,0.4095195271970298
2003-02-28,0.683715549860301,0.31628445013969925
2003-03-31,0.8094023694704019,0.19059763052959872
2003-04-30,0.8726304733421225,0.12736952665787785
2003-05-31,0.9010876296688951,0.09891237033110502
2003-06-30,0.9359492263503322,0.06405077364966798
2003-07-31,0.9498765712144575,0.05012342878554271
2003-08-31,0.9580132915304639,0.041986708469536345
2003-09-30,0.9554559381176211,0.04454406188237921
2003-10-31,0.9511950239469614,0.04880497605303884
2003-11-30,0.9578177681106005,0.042182231889399666
2003-12-31,0.9550973429317577,0.044902657068242424
2004-01-31,0.9425578543006972,0.05744214569930303
2004-02-29,0.9189043950866774,0.0810956049133229
2004-03-31,0.9315420795529746,0.06845792044702562
2004-04-30,0.9332056454881993,0.06679435451180094
2004-05-31,0.9175417072746609,0.0824582927253393
2004-06-30,0.8856146775764339,0.11438532242356632
2004-07-31,0.81475306741304,0.18524693258696018
2004-08-31,0.8670006604536813,0.13299933954631876
2004-09-30,0.8831266472509252,0.11687335274907484
2004-10-31,0.9220422757899022,0.07795772421009792
2004-11-30,0.9376614736726043,0.06233852632739584
2004-12-31,0.9425985950147316,0.0574014049852684
2005-01-31,0.9556786907139491,0.044321309286050936
2005-02-28,0.9599313152474626,0.04006868475253757
2005-03-31,0.9593092688622624,0.040690731137737614
2005-04-30,0.9576626252078885,0.04233737479211164
2005-05-31,0.9560704633648275,0.043929536635172704
2005-06-30,0.9503647435705327,0.04963525642946742
2005-07-31,0.9506416418337947,0.04935835816620536
2005-08-31,0.9537560920981494,0.04624390790185087
2005-09-30,0.9635917095011017,0.036408290498898786
2005-10-31,0.9663731113123806,0.033626888687619705
2005-11-30,0.9704657660001673,0.029534233999833154
2005-12-31,0.9718390976482315,0.028160902351768817
2006-01-31,0.9730212601776982,0.026978739822302172
2006-02-28,0.9744275491092946,0.025572450890705735
2006-03-31,0.9748149785829214,0.02518502141707904
2006-04-30,0.9745435392819152,0.025456460718085175
2006-05-31,0.9732947910648497,0.02670520893515075
2006-06-30,0.9723634479262107,0.02763655207378985
2006-07-31,0.9696082474841407,0.030391752515859898
2006-08-31,0.963410871464318,0.03658912853568249
2006-09-30,0.9664582646645546,0.033541735335446125
2006-10-31,0.9667228612235524,0.033277138776448334
2006-11-30,0.9635315414573046,0.03646845854269633
2006-12-31,0.9644964106152437,0.035503589384757145
2007-01-31,0.9630044545179278,0.036995545482073
2007-02-28,0.955292383601616,0.04470761639838497
2007-03-31,0.9553752768483397,0.04462472315166112
2007-04-30,0.9479598051764268,0.05204019482357421
2007-05-31,0.9361769762805788,0.063823023719422
2007-06-30,0.9064430459554368,0.09355695404456406
2007-07-31,0.8832657553648094,0.11673424463519153
2007-08-31,0.8874979974059878,0.11250200259401322
2007-09-30,0.8666011459722166,0.13339885402778465
2007-10-31,0.8593013584014438,0.14069864159855727
2007-11-30,0.8140544945018704,0.18594550549813071
2007-12-31,0.7284083070021118,0.2715916929978893
2008-01-31,0.5830281790349499,0.41697182096505125
2008-02-29,0.6456799557969144,0.3543200442030868
2008-03-31,0.6533706301014658,0.3466293698985354
2008-04-30,0.6030653371648117,0.3969346628351895
2008-05-31,0.5077416380918274,0.49225836190817385
2008-06-30,0.2638082442986029,0.7361917557013983
2008-07-31,0.33497191571149,0.6650280842885111
2008-08-31,0.30854180374605095,0.6914581962539501
2008-09-30,0.1499803083673848,0.8500196916326161
2008-10-31,3.7098086687287267e-06,0.9999962901913322
2008-11-30,0.03874658296156109,0.9612534170384398
2008-12-31,0.039339528406622276,0.9606604715933786
2009-01-31,0.00011845738062217102,0.9998815426193787
2009-02-28,0.00056997850423545,0.9994300214957653
2009-03-31,0.8238163164228379,0.1761836835771627
2009-04-30,0.9657093072817626,0.03429069271823787
2009-05-31,0.9888317242513839,0.011168275748616615
2009-06-30,0.9837528242078615,0.016247175792138954
2009-07-31,0.9923583016497067,0.007641698350293656
2009-08-31,0.9884933844974648,0.011506615502535674
2009-09-30,0.9876922709521775,0.012307729047823252
2009-10-31,0.9828986500112361,0.01710134998876463
2009-11-30,0.9754100305979471,0.024589969402053578
2009-12-31,0.9521982790653198,0.0478017209346807
2010-01-31,0.9261064861807121,0.07389351381928858
2010-02-28,0.8969546987301097,0.10304530126989092
2010-03-31,0.8462806652294345,0.15371933477056632
2010-04-30,0.7938338024170364,0.20616619758296456
2010-05-31,0.6906514909585575,0.30934850904144356
2010-06-30,0.6344555065652819,0.365544493434719
2010-07-31,0.5212833428253638,0.4787166571746372
2010-08-31,0.548348193244332,0.4516518067556688
2010-09-30,0.5221963609335996,0.47780363906640144
2010-10-31,0.627416289146804,0.37258371085319697
2010-11-30,0.7039672693473605,0.29603273065264035
2010-12-31,0.7369429239404092,0.2630570760595916
2011-01-31,0.8034151165106215,0.19658488348937933
2011-02-28,0.8394606379777831,0.16053936202221752
2011-03-31,0.8537717537889389,0.14622824621106187
2011-04-30,0.8333999155089804,0.16660008449102026
2011-05-31,0.856647312612678,0.14335268738732254
2011-06-30,0.8493992729977398,0.15060072700226054
2011-07-31,0.8649193282855965,0.13508067171440372
2011-08-31,0.8691651892847032,0.13083481071529704
2011-09-30,0.8424669905483498,0.1575330094516505
2011-10-31,0.8596906466901744,0.14030935330982588
2011-11-30,0.8970666034165043,0.10293339658349597
2011-12-31,0.9167704543850703,0.0832295456149301
2012-01-31,0.923296173990269,0.07670382600973144
2012-02-29,0.9264039952751272,0.07359600472487325
2012-03-31,0.9397624052209477,0.06023759477905271
2012-04-30,0.9491145034986588,0.05088549650134151
2012-05-31,0.9480508434596966,0.051949156540303756
2012-06-30,0.9454642111831245,0.05453578881687579
2012-07-31,0.9509020968430258,0.049097903156974584
2012-08-31,0.9517897733238732,0.04821022667612723
2012-09-30,0.948928529872692,0.05107147012730845
2012-10-31,0.9342839749605396,0.06571602503946106
2012-11-30,0.9200818209942434,0.0799181790057572
2012-12-31,0.882506861131649,0.11749313886835165
2013-01-31,0.8544204215008783,0.14557957849912243
2013-02-28,0.8590497765519399,0.14095022344806069
2013-03-31,0.8409213529283234,0.15907864707167718
2013-04-30,0.8425276410361255,0.15747235896387515
2013-05-31,0.8134368024712496,0.18656319752875097
2013-06-30,0.7951009303321933,0.2048990696678073
2013-07-31,0.7365141252006049,0.2634858747993957
2013-08-31,0.653491909394595,0.3465080906054057
2013-09-30,0.6897210263168168,0.3102789736831838
2013-10-31,0.6645712153532319,0.3354287846467685
2013-11-30,0.7224637125476845,0.277536287452316
2013-12-31,0.7198520005521512,0.28014799944784935
2014-01-31,0.6563728139121258,0.34362718608787457
2014-02-28,0.7683763190274424,0.23162368097255798
2014-03-31,0.8487384149988518,0.15126158500114853
2014-04-30,0.8851575487346615,0.11484245126533897
2014-05-31,0.9000152448770605,0.09998475512294
2014-06-30,0.8912732942036149,0.10872670579638559
2014-07-31,0.8580153009623743,0.14198469903762617
2014-08-31,0.8575294143953698,0.14247058560463086
2014-09-30,0.8734071136711994,0.12659288632880128
2014-10-31,0.85756166686924,0.14243833313076076
2014-11-30,0.8303596960479772,0.16964030395202334
2014-12-31,0.8531896090235526,0.14681039097644807
2015-01-31,0.8544062212488335,0.14559377875116705
2015-02-28,0.8363714029155231,0.16362859708447747
2015-03-31,0.8051262012498768,0.1948737987501238
2015-04-30,0.7861951305757349,0.21380486942426566
2015-05-31,0.7442465800181594,0.25575341998184115
2015-06-30,0.6260766591036566,0.37392334089634394
2015-07-31,0.5241322605757615,0.47586773942423893
2015-08-31,0.3908347596338346,0.6091652403661656
2015-09-30,0.6309521721198124,0.36904782788018786
2015-10-31,0.7498516822507868,0.2501483177492135
2015-11-30,0.8344981099747124,0.1655018900252878
2015-12-31,0.9129037285873307,0.08709627141266933
2016-01-31,0.9361456142101395,0.06385438578986058
2016-02-29,0.9438140859737179,0.05618591402628232
2016-03-31,0.9421771354247819,0.05782286457521808
2016-04-30,0.9259415019780506,0.07405849802194928
2016-05-31,0.9269040266100937,0.07309597338990623
2016-06-30,0.9084431111304685,0.09155688886953162
2016-07-31,0.8893367746676459,0.11066322533235412
2016-08-31,0.8668997400948486,0.13310025990515145
2016-09-30,0.8315868162695599,0.1684131837304402
2016-10-31,0.807449916682981,0.19255008331701903
2016-11-30,0.765619481989557,0.23438051801044318
2016-12-31,0.8646509817412832,0.13534901825871712
2017-01-31,0.9115739570087911,0.0884260429912091
2017-02-28,0.9248752722407302,0.07512472775926995
2017-03-31,0.9367831871544734,0.06321681284552678
2017-04-30,0.9421146138657702,0.057885386134229846
2017-05-31,0.9322886627467476,0.0677113372532527
2017-06-30,0.9075795848944566,0.09242041510554369
2017-07-31,0.9018603645940302,0.09813963540597004
2017-08-31,0.8687164665158413,0.1312835334841587
2017-09-30,0.8240715977181975,0.1759284022818027
2017-10-31,0.7480773041222414,0.2519226958777589
2017-11-30,0.6491138633274681,0.3508861366725321
2017-12-31,0.6036435088170542,0.396356491182946
2018-01-31,0.4768530511213804,0.5231469488786199
2018-02-28,0.19947196858660377,0.8005280314133966
2018-03-31,0.31705658028619754,0.6829434197138028
2018-04-30,0.36091229867600944,0.639087701323991
2018-05-31,0.48451000528793586,0.5154899947120645
2018-06-30,0.5633946075319237,0.4366053924680765
2018-07-31,0.6369960445491403,0.3630039554508601
2018-08-31,0.689752174183397,0.3102478258166034
2018-09-30,0.6812984776073832,0.31870152239261706
2018-10-31,0.6073452329342391,0.3926547670657612
2018-11-30,0.43670059328062377,0.5632994067193766
2018-12-31,0.09839476680259987,0.9016052331974006
2019-01-31,0.3414773011744784,0.6585226988255221
2019-02-28,0.5884180527223103,0.41158194727769
2019-03-31,0.6961050045937871,0.3038949954062131
2019-04-30,0.7507100257914492,0.24928997420855104
2019-05-31,0.7424376526415647,0.25756234735843553
2019-06-30,0.8265419378027599,0.17345806219724025
2019-07-31,0.899038543247314,0.10096145675268592
2019-08-31,0.9256760562692157,0.07432394373078435
2019-09-30,0.9251872876752866,0.07481271232471348
2019-10-31,0.8970148666333435,0.1029851333666565
2019-11-30,0.8565250402670527,0.14347495973294716
2019-12-31,0.7525852584446069,0.24741474155539311
2020-01-31,0.4997405279776564,0.5002594720223437
2020-02-29,0.021202508489662812,0.9787974915103376
2020-03-31,0.05901164003658935,0.9409883599634109
2020-04-30,0.7719854705084988,0.2280145294915016
2020-05-31,0.8375669176515288,0.16243308234847154
2020-06-30,0.8228159144873688,0.1771840855126314
2020-07-31,0.8013132220968813,0.19868677790311884
2020-08-31,0.74428309017417,0.25571690982582995
2020-09-30,0.5416251537494647,0.4583748462505353
2020-10-31,0.3933716595269665,0.6066283404730336
2020-11-30,0.3529386243064857,0.6470613756935144
2020-12-31,0.30923110341554044,0.6907688965844598
2021-01-31,0.13439499234167585,0.8656050076583244
2021-02-28,0.14663734927633096,0.8533626507236693
2021-03-31,0.1422315776262681,0.8577684223737323
2021-04-30,0.3082187330099647,0.6917812669900355
2021-05-31,0.44342888546372283,0.5565711145362774
2021-06-30,0.5448139943486241,0.45518600565137607
2021-07-31,0.5593520308043425,0.44064796919565774
2021-08-31,0.5209112456803915,0.47908875431960884
2021-09-30,0.3919976268920934,0.608002373107907
2021-10-31,0.3505797514648969,0.6494202485351035
2021-11-30,0.26107591235016414,0.7389240876498362
2021-12-31,0.08990150176515248,0.9100984982348479
2022-01-31,0.272890441554575,0.7271095584454252
2022-02-28,0.3962195414060995,0.603780458593901
2022-03-31,0.44571778202803936,0.5542822179719611
2022-04-30,0.41939474410833194,0.5806052558916684
2022-05-31,0.3119802740261495,0.688019725973851
2022-06-30,0.290357397349204,0.7096426026507964
2022-07-31,0.2621846999093817,0.7378153000906187
2022-08-31,0.15311300498429695,0.8468869950157034
2022-09-30,0.007087564927897364,0.9929124350721031
2022-10-31,0.012611888868441268,0.9873881111315591
2022-11-30,0.0767879330377987,0.9232120669622016
2022-12-31,0.13787722484410503,0.8621227751558952
2023-01-31,0.2193741751564679,0.7806258248435322
2023-02-28,0.2510650708572043,0.7489349291427957
2023-03-31,0.2838025729334332,0.7161974270665667
2023-04-30,0.2569132126889105,0.7430867873110896
2023-05-31,0.14887215184122427,0.8511278481587756
2023-06-30,0.28287357851199046,0.7171264214880096
2023-07-31,0.3108115212353227,0.6891884787646775
2023-08-31,0.24956046020069725,0.7504395397993028
2023-09-30,0.27356039056580994,0.7264396094341901
2023-10-31,0.5231700715208332,0.4768299284791669
2023-11-30,0.7269808132873848,0.2730191867126152
2023-12-31,0.8515678332836257,0.14843216671637421
2024-01-31,0.914473014963766,0.08552698503623392
2024-02-29,0.9408985770370859,0.05910142296291414
2024-03-31,0.9471697699496615,0.052830230050338475
2024-04-30,0.9418548898265576,0.05814511017344244
2024-05-31,0.9448073226487765,0.05519267735122346
2024-06-30,0.9319945690520707,0.06800543094792941
2024-07-31,0.9080102515864757,0.09198974841352442
2024-08-31,0.8446978671713192,0.15530213282868088
2024-09-30,0.8063262915229533,0.19367370847704662
2024-10-31,0.7000466831644998,0.2999533168355002
2024-11-30,0.6942028668863063,0.3057971331136937
2024-12-31,0.6253252188337235,0.37467478116627645
2025-01-31,0.7451523503062917,0.2548476496937083
2025-02-28,0.7936421649582496,0.20635783504175037
2025-03-31,0.8496565301108393,0.15034346988916075
2025-04-30,0.8931351362494734,0.10686486375052671
2025-05-31,0.9092736679221445,0.0907263320778554
2025-06-30,0.8984487874704158,0.1015512125295841
2025-07-31,0.8940629547734704,0.10593704522652961
2025-08-31,0.8883823836774751,0.11161761632252494
2025-09-30,0.8492076379963327,0.15079236200366736
2025-10-31,0.8251229864837433,0.17487701351625667
2025-11-30,0.8271617551757438,0.17283824482425625
2025-12-31,0.820109982846309,0.17989001715369102
