signal,threshold,strategy,lead_months,oos_sharpe,oos_ann_return,max_drawdown,annual_turnover,oos_n,valid
S1_level,T1_p25,P1,0,0.8998,14.8,-23.93,0.28,96,True
S1_level,T1_p25,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T1_p25,P3,0,0.8998,14.8,-23.93,0.56,96,True
S1_level,T1_p50,P1,0,0.7538,12.35,-23.93,0.72,96,True
S1_level,T1_p50,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T1_p50,P3,0,0.5904,9.89,-29.25,1.44,96,True
S1_level,T1_p75,P1,0,0.178,1.4,-19.98,0.58,96,True
S1_level,T1_p75,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T1_p75,P3,0,-0.7218,-12.01,-66.79,1.17,96,False
S1_level,T2_rp25,P1,0,0.6351,10.07,-23.93,0.47,96,True
S1_level,T2_rp25,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T2_rp25,P3,0,0.315,5.33,-30.84,0.94,96,True
S1_level,T2_rp50,P1,0,0.5153,7.65,-23.93,0.67,96,True
S1_level,T2_rp50,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T2_rp50,P3,0,0.0297,0.51,-44.53,1.33,96,True
S1_level,T2_rp75,P1,0,0.3101,4.15,-19.98,0.94,96,True
S1_level,T2_rp75,P2,0,0.6159,7.6,-19.14,0.82,96,True
S1_level,T2_rp75,P3,0,-0.3853,-6.51,-53.75,1.89,96,False
S1_level,T1_p25,P1,1,0.8998,14.8,-23.93,0.31,96,True
S1_level,T1_p25,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T1_p25,P3,1,0.8998,14.8,-23.93,0.61,96,True
S1_level,T1_p50,P1,1,0.9996,15.37,-23.93,0.75,96,True
S1_level,T1_p50,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T1_p50,P3,1,0.9747,15.95,-23.93,1.5,96,True
S1_level,T1_p75,P1,1,0.1574,1.45,-23.93,0.61,96,True
S1_level,T1_p75,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T1_p75,P3,1,-0.7152,-11.91,-66.5,1.22,96,False
S1_level,T2_rp25,P1,1,0.7308,11.74,-23.93,0.44,96,True
S1_level,T2_rp25,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T2_rp25,P3,1,0.5156,8.67,-23.93,0.89,96,True
S1_level,T2_rp50,P1,1,0.3744,5.54,-23.93,0.67,96,True
S1_level,T2_rp50,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T2_rp50,P3,1,-0.2197,-3.73,-59.58,1.33,96,False
S1_level,T2_rp75,P1,1,0.58,7.23,-19.98,0.94,96,True
S1_level,T2_rp75,P2,1,0.6395,8.08,-21.37,0.82,96,True
S1_level,T2_rp75,P3,1,-0.0201,-0.34,-57.37,1.89,96,False
S1_level,T1_p25,P1,2,0.8998,14.8,-23.93,0.31,96,True
S1_level,T1_p25,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p25,P3,2,0.8998,14.8,-23.93,0.61,96,True
S1_level,T1_p50,P1,2,0.7432,11.59,-23.93,0.75,96,True
S1_level,T1_p50,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p50,P3,2,0.4977,8.38,-35.12,1.5,96,True
S1_level,T1_p75,P1,2,0.19,1.69,-23.93,0.61,96,True
S1_level,T1_p75,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T1_p75,P3,2,-0.6844,-11.41,-65.17,1.22,96,False
S1_level,T2_rp25,P1,2,0.7009,11.34,-23.93,0.44,96,True
S1_level,T2_rp25,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp25,P3,2,0.4681,7.89,-23.93,0.89,96,True
S1_level,T2_rp50,P1,2,0.4971,7.47,-23.93,0.67,96,True
S1_level,T2_rp50,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp50,P3,2,0.0078,0.13,-38.87,1.33,96,True
S1_level,T2_rp75,P1,2,0.1895,2.47,-23.93,0.94,96,True
S1_level,T2_rp75,P2,2,0.6574,8.52,-20.35,0.82,96,True
S1_level,T2_rp75,P3,2,-0.5883,-9.86,-64.59,1.89,96,False
S1_level,T1_p25,P1,3,0.8998,14.8,-23.93,0.31,96,True
S1_level,T1_p25,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p25,P3,3,0.8998,14.8,-23.93,0.61,96,True
S1_level,T1_p50,P1,3,0.9241,14.19,-23.93,0.75,96,True
S1_level,T1_p50,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p50,P3,3,0.8214,13.58,-23.93,1.5,96,True
S1_level,T1_p75,P1,3,0.1756,1.58,-23.93,0.5,96,True
S1_level,T1_p75,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T1_p75,P3,3,-0.6988,-11.64,-65.8,1.0,96,False
S1_level,T2_rp25,P1,3,0.6253,10.01,-23.93,0.44,96,True
S1_level,T2_rp25,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp25,P3,3,0.308,5.22,-32.21,0.89,96,True
S1_level,T2_rp50,P1,3,0.5286,7.96,-23.93,0.67,96,True
S1_level,T2_rp50,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp50,P3,3,0.0655,1.11,-45.49,1.33,96,True
S1_level,T2_rp75,P1,3,0.5063,6.75,-23.93,0.94,96,True
S1_level,T2_rp75,P2,3,0.6851,8.99,-20.26,0.82,96,True
S1_level,T2_rp75,P3,3,-0.0764,-1.3,-58.32,1.89,96,False
S1_level,T1_p25,P1,6,0.8998,14.8,-23.93,0.36,96,True
S1_level,T1_p25,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p25,P3,6,0.8998,14.8,-23.93,0.72,96,True
S1_level,T1_p50,P1,6,0.861,13.56,-23.93,0.75,96,True
S1_level,T1_p50,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p50,P3,6,0.7415,12.32,-23.93,1.5,96,True
S1_level,T1_p75,P1,6,0.0021,0.02,-23.93,0.5,96,True
S1_level,T1_p75,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T1_p75,P3,6,-0.8973,-14.76,-73.36,1.0,96,False
S1_level,T2_rp25,P1,6,0.716,11.31,-23.93,0.44,96,True
S1_level,T2_rp25,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp25,P3,6,0.4645,7.83,-23.93,0.89,96,True
S1_level,T2_rp50,P1,6,0.4539,6.68,-23.93,0.67,96,True
S1_level,T2_rp50,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp50,P3,6,-0.0848,-1.44,-44.25,1.33,96,False
S1_level,T2_rp75,P1,6,0.4256,6.02,-23.93,0.94,96,True
S1_level,T2_rp75,P2,6,0.7006,9.44,-19.32,0.82,96,True
S1_level,T2_rp75,P3,6,-0.1629,-2.77,-52.92,1.89,96,False
S2_yoy,T1_p25,P1,0,0.6639,9.61,-19.98,1.47,96,True
S2_yoy,T1_p25,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p25,P3,0,0.2601,4.41,-27.15,2.94,96,True
S2_yoy,T1_p50,P1,0,0.5369,5.49,-19.45,2.17,96,True
S2_yoy,T1_p50,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p50,P3,0,-0.2259,-3.83,-47.29,4.33,96,False
S2_yoy,T1_p75,P1,0,0.1704,1.19,-19.42,1.61,96,True
S2_yoy,T1_p75,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T1_p75,P3,0,-0.7475,-12.42,-67.9,3.22,96,False
S2_yoy,T2_rp25,P1,0,0.7839,10.64,-19.45,2.25,96,True
S2_yoy,T2_rp25,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp25,P3,0,0.3829,6.47,-29.2,4.5,96,True
S2_yoy,T2_rp50,P1,0,0.3782,3.57,-19.45,1.83,96,True
S2_yoy,T2_rp50,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp50,P3,0,-0.4552,-7.67,-56.24,3.67,96,False
S2_yoy,T2_rp75,P1,0,0.1873,1.34,-19.42,1.56,96,True
S2_yoy,T2_rp75,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T2_rp75,P3,0,-0.7284,-12.12,-67.11,3.11,96,False
S2_yoy,T4_zero,P1,0,0.3742,5.13,-20.15,1.44,96,True
S2_yoy,T4_zero,P2,0,0.8661,5.74,-11.32,1.17,96,True
S2_yoy,T4_zero,P3,0,-0.2684,-4.55,-54.4,2.89,96,False
S2_yoy,T1_p25,P1,1,0.81,11.15,-23.93,1.44,96,True
S2_yoy,T1_p25,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T1_p25,P3,1,0.4451,7.5,-42.25,2.89,96,True
S2_yoy,T1_p50,P1,1,0.3897,4.35,-21.91,2.17,96,True
S2_yoy,T1_p50,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T1_p50,P3,1,-0.361,-6.1,-57.54,4.33,96,False
S2_yoy,T1_p75,P1,1,0.5359,4.14,-12.52,1.61,96,True
S2_yoy,T1_p75,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T1_p75,P3,1,-0.3862,-6.53,-53.45,3.22,96,False
S2_yoy,T2_rp25,P1,1,0.6868,9.51,-31.85,2.22,96,True
S2_yoy,T2_rp25,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T2_rp25,P3,1,0.2486,4.22,-52.43,4.44,96,True
S2_yoy,T2_rp50,P1,1,0.4293,4.68,-19.45,1.83,96,True
S2_yoy,T2_rp50,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T2_rp50,P3,1,-0.3218,-5.45,-50.88,3.67,96,False
S2_yoy,T2_rp75,P1,1,0.6255,5.37,-12.52,1.56,96,True
S2_yoy,T2_rp75,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T2_rp75,P3,1,-0.2394,-4.06,-53.45,3.11,96,False
S2_yoy,T4_zero,P1,1,0.5874,7.79,-25.58,1.44,96,True
S2_yoy,T4_zero,P2,1,0.8887,6.16,-11.36,1.17,96,True
S2_yoy,T4_zero,P3,1,0.0456,0.77,-51.3,2.89,96,True
S2_yoy,T1_p25,P1,2,0.333,4.93,-27.89,1.42,96,True
S2_yoy,T1_p25,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T1_p25,P3,2,-0.2913,-4.94,-50.8,2.83,96,False
S2_yoy,T1_p50,P1,2,0.2532,2.92,-20.04,2.17,96,True
S2_yoy,T1_p50,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T1_p50,P3,2,-0.5335,-8.96,-59.97,4.33,96,False
S2_yoy,T1_p75,P1,2,0.4871,3.28,-7.95,1.61,96,True
S2_yoy,T1_p75,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T1_p75,P3,2,-0.4899,-8.25,-56.73,3.22,96,False
S2_yoy,T2_rp25,P1,2,0.679,9.6,-21.33,2.19,96,True
S2_yoy,T2_rp25,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T2_rp25,P3,2,0.2599,4.41,-30.87,4.39,96,True
S2_yoy,T2_rp50,P1,2,0.6436,6.73,-19.45,1.83,96,True
S2_yoy,T2_rp50,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T2_rp50,P3,2,-0.0786,-1.34,-43.59,3.67,96,False
S2_yoy,T2_rp75,P1,2,0.5933,4.09,-7.95,1.56,96,True
S2_yoy,T2_rp75,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T2_rp75,P3,2,-0.3922,-6.63,-53.45,3.11,96,False
S2_yoy,T4_zero,P1,2,0.3498,4.94,-23.93,1.44,96,True
S2_yoy,T4_zero,P2,2,0.8125,5.51,-9.75,1.17,96,True
S2_yoy,T4_zero,P3,2,-0.2907,-4.93,-45.23,2.89,96,False
S2_yoy,T1_p25,P1,3,0.772,11.07,-23.93,1.42,96,True
S2_yoy,T1_p25,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T1_p25,P3,3,0.4345,7.33,-29.65,2.83,96,True
S2_yoy,T1_p50,P1,3,0.4256,5.04,-19.45,2.17,96,True
S2_yoy,T1_p50,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T1_p50,P3,3,-0.279,-4.73,-46.7,4.33,96,False
S2_yoy,T1_p75,P1,3,0.3195,2.56,-19.45,1.61,96,True
S2_yoy,T1_p75,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T1_p75,P3,3,-0.5777,-9.69,-60.01,3.22,96,False
S2_yoy,T2_rp25,P1,3,0.8503,11.07,-19.45,2.19,96,True
S2_yoy,T2_rp25,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T2_rp25,P3,3,0.4348,7.33,-26.23,4.39,96,True
S2_yoy,T2_rp50,P1,3,0.4078,4.65,-19.45,1.83,96,True
S2_yoy,T2_rp50,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T2_rp50,P3,3,-0.3247,-5.5,-51.14,3.67,96,False
S2_yoy,T2_rp75,P1,3,0.3673,3.0,-19.45,1.56,96,True
S2_yoy,T2_rp75,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T2_rp75,P3,3,-0.5239,-8.81,-57.09,3.11,96,False
S2_yoy,T4_zero,P1,3,0.6044,8.2,-23.93,1.44,96,True
S2_yoy,T4_zero,P2,3,0.8552,5.94,-11.74,1.17,96,True
S2_yoy,T4_zero,P3,3,0.0943,1.6,-47.9,2.89,96,True
S2_yoy,T1_p25,P1,6,0.6517,9.45,-23.93,1.39,96,True
S2_yoy,T1_p25,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T1_p25,P3,6,0.2414,4.09,-34.3,2.78,96,True
S2_yoy,T1_p50,P1,6,0.5943,7.14,-21.88,2.11,96,True
S2_yoy,T1_p50,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T1_p50,P3,6,-0.0302,-0.51,-39.16,4.22,96,False
S2_yoy,T1_p75,P1,6,0.2673,1.97,-12.49,1.67,96,True
S2_yoy,T1_p75,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T1_p75,P3,6,-0.6498,-10.86,-67.49,3.33,96,False
S2_yoy,T2_rp25,P1,6,0.6839,9.59,-20.82,2.14,96,True
S2_yoy,T2_rp25,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T2_rp25,P3,6,0.2578,4.37,-34.21,4.28,96,True
S2_yoy,T2_rp50,P1,6,0.5191,6.07,-24.61,1.83,96,True
S2_yoy,T2_rp50,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T2_rp50,P3,6,-0.1569,-2.67,-44.39,3.67,96,False
S2_yoy,T2_rp75,P1,6,0.4411,3.8,-12.49,1.56,96,True
S2_yoy,T2_rp75,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T2_rp75,P3,6,-0.4272,-7.21,-53.45,3.11,96,False
S2_yoy,T4_zero,P1,6,0.4464,6.29,-23.93,1.44,96,True
S2_yoy,T4_zero,P2,6,0.7766,5.38,-9.72,1.17,96,True
S2_yoy,T4_zero,P3,6,-0.1306,-2.22,-36.83,2.89,96,False
S3_mom,T1_p25,P1,0,0.7711,11.12,-19.42,4.42,96,True
S3_mom,T1_p25,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T1_p25,P3,0,0.441,7.44,-35.3,8.83,96,True
S3_mom,T1_p50,P1,0,0.4896,5.51,-17.72,6.58,96,True
S3_mom,T1_p50,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T1_p50,P3,0,-0.2232,-3.79,-46.2,13.17,96,False
S3_mom,T1_p75,P1,0,0.0497,0.38,-18.8,4.97,96,True
S3_mom,T1_p75,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T1_p75,P3,0,-0.8506,-14.04,-71.71,9.94,96,False
S3_mom,T2_rp25,P1,0,0.7039,10.08,-19.42,4.47,96,True
S3_mom,T2_rp25,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T2_rp25,P3,0,0.3165,5.36,-33.76,8.94,96,True
S3_mom,T2_rp50,P1,0,0.485,5.45,-17.72,5.86,96,True
S3_mom,T2_rp50,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T2_rp50,P3,0,-0.2303,-3.91,-49.31,11.72,96,False
S3_mom,T2_rp75,P1,0,0.2057,1.3,-10.33,4.47,96,True
S3_mom,T2_rp75,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T2_rp75,P3,0,-0.7333,-12.19,-67.2,8.94,96,False
S3_mom,T4_zero,P1,0,0.4542,5.14,-17.72,6.58,96,True
S3_mom,T4_zero,P2,0,0.8488,7.95,-11.55,2.59,96,True
S3_mom,T4_zero,P3,0,-0.2669,-4.52,-49.28,13.17,96,False
S3_mom,T1_p25,P1,1,0.7827,10.94,-25.95,4.42,96,True
S3_mom,T1_p25,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T1_p25,P3,1,0.4193,7.08,-39.45,8.83,96,True
S3_mom,T1_p50,P1,1,0.5544,6.03,-12.52,6.56,96,True
S3_mom,T1_p50,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T1_p50,P3,1,-0.1611,-2.74,-46.34,13.11,96,False
S3_mom,T1_p75,P1,1,0.5514,4.89,-12.49,4.94,96,True
S3_mom,T1_p75,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T1_p75,P3,1,-0.296,-5.01,-50.96,9.89,96,False
S3_mom,T2_rp25,P1,1,0.7369,10.28,-25.95,4.47,96,True
S3_mom,T2_rp25,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T2_rp25,P3,1,0.3404,5.76,-39.45,8.94,96,True
S3_mom,T2_rp50,P1,1,0.6497,6.98,-12.52,5.83,96,True
S3_mom,T2_rp50,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T2_rp50,P3,1,-0.0501,-0.85,-41.1,11.67,96,False
S3_mom,T2_rp75,P1,1,0.8368,5.94,-4.74,4.44,96,True
S3_mom,T2_rp75,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T2_rp75,P3,1,-0.172,-2.92,-48.2,8.89,96,False
S3_mom,T4_zero,P1,1,0.5944,6.5,-12.52,6.56,96,True
S3_mom,T4_zero,P2,1,0.8335,7.94,-15.35,2.59,96,True
S3_mom,T4_zero,P3,1,-0.1057,-1.8,-42.15,13.11,96,False
S3_mom,T1_p25,P1,2,0.8604,12.56,-21.51,4.47,96,True
S3_mom,T1_p25,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T1_p25,P3,2,0.6166,10.32,-29.55,8.94,96,True
S3_mom,T1_p50,P1,2,0.3879,4.6,-25.75,6.56,96,True
S3_mom,T1_p50,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T1_p50,P3,2,-0.3311,-5.6,-49.57,13.11,96,False
S3_mom,T1_p75,P1,2,0.3979,3.09,-8.81,4.89,96,True
S3_mom,T1_p75,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T1_p75,P3,2,-0.5129,-8.63,-62.73,9.78,96,False
S3_mom,T2_rp25,P1,2,0.7739,11.4,-21.51,4.47,96,True
S3_mom,T2_rp25,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T2_rp25,P3,2,0.4748,8.0,-29.55,8.94,96,True
S3_mom,T2_rp50,P1,2,0.3569,4.17,-25.75,5.81,96,True
S3_mom,T2_rp50,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T2_rp50,P3,2,-0.3827,-6.47,-56.18,11.61,96,False
S3_mom,T2_rp75,P1,2,0.7246,3.64,-6.14,4.44,96,True
S3_mom,T2_rp75,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T2_rp75,P3,2,-0.4467,-7.53,-61.64,8.89,96,False
S3_mom,T4_zero,P1,2,0.2849,3.5,-32.27,6.56,96,True
S3_mom,T4_zero,P2,2,0.8525,8.22,-13.51,2.59,96,True
S3_mom,T4_zero,P3,2,-0.4627,-7.8,-57.7,13.11,96,False
S3_mom,T1_p25,P1,3,0.978,13.19,-19.45,4.42,96,True
S3_mom,T1_p25,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T1_p25,P3,3,0.6944,11.57,-38.39,8.83,96,True
S3_mom,T1_p50,P1,3,0.578,7.15,-20.76,6.53,96,True
S3_mom,T1_p50,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T1_p50,P3,3,-0.0299,-0.51,-40.52,13.06,96,False
S3_mom,T1_p75,P1,3,0.3174,2.89,-9.46,4.92,96,True
S3_mom,T1_p75,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T1_p75,P3,3,-0.5368,-9.02,-61.14,9.83,96,False
S3_mom,T2_rp25,P1,3,0.9902,13.49,-19.45,4.47,96,True
S3_mom,T2_rp25,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T2_rp25,P3,3,0.7325,12.18,-38.39,8.94,96,True
S3_mom,T2_rp50,P1,3,0.61,7.55,-20.76,5.81,96,True
S3_mom,T2_rp50,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T2_rp50,P3,3,0.0169,0.29,-40.52,11.61,96,True
S3_mom,T2_rp75,P1,3,0.2784,2.18,-8.78,4.42,96,True
S3_mom,T2_rp75,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T2_rp75,P3,3,-0.6236,-10.43,-64.79,8.83,96,False
S3_mom,T4_zero,P1,3,0.5804,7.17,-20.76,6.53,96,True
S3_mom,T4_zero,P2,3,0.8315,8.32,-12.96,2.59,96,True
S3_mom,T4_zero,P3,3,-0.0266,-0.45,-40.52,13.06,96,False
S3_mom,T1_p25,P1,6,1.3882,18.73,-19.42,4.53,96,True
S3_mom,T1_p25,P2,6,0.9023,9.11,-16.24,2.6,96,True
S3_mom,T1_p25,P3,6,1.4454,22.66,-19.42,9.06,96,True
S3_mom,T1_p50,P1,6,1.0187,11.76,-19.42,6.5,96,True
S3_mom,T1_p50,P2,6,0.9023,9.11,-16.24,2.6,96,True
